,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
1315022,14237632,JK303909,2026-06-21T21:30:00.000,068XX S INDIANA AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,False,False,322,3,6.0,69.0,04B,1178771.0,1859807.0,2026,2026-06-29T15:42:22.000,41.770608792,-87.620247348,"{'latitude': '41.770608792', 'longitude': '-87.620247348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315023,14238205,JK304759,2026-06-21T21:30:00.000,051XX S HONORE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,932,9,16.0,61.0,14,1164882.0,1870702.0,2026,2026-06-29T15:42:22.000,41.800810779,-87.670851304,"{'latitude': '41.800810779', 'longitude': '-87.670851304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315024,14237530,JK303806,2026-06-21T21:31:00.000,083XX S LANGLEY AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,632,6,6.0,44.0,08A,1182378.0,1849662.0,2026,2026-06-29T15:42:22.000,41.742687029,-87.60733944,"{'latitude': '41.742687029', 'longitude': '-87.60733944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315025,14241351,JK307611,2026-06-21T21:45:00.000,002XX E HURON ST,0460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,False,False,1834,18,2.0,8.0,08B,1178046.0,1905133.0,2026,2026-06-29T15:42:22.000,41.895003278,-87.62152816,"{'latitude': '41.895003278', 'longitude': '-87.62152816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315026,14237595,JK303838,2026-06-21T21:47:00.000,105XX S PULASKI RD,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2211,22,19.0,74.0,05,1151545.0,1834241.0,2026,2026-06-29T15:42:22.000,41.701027248,-87.720715071,"{'latitude': '41.701027248', 'longitude': '-87.720715071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315027,14237524,JK303820,2026-06-21T21:58:00.000,075XX N WESTERN AVE,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,2411,24,50.0,2.0,08B,1159016.0,1949998.0,2026,2026-06-29T15:42:22.000,42.018527314,-87.690183466,"{'latitude': '42.018527314', 'longitude': '-87.690183466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315028,14237553,JK303818,2026-06-21T21:59:00.000,020XX S DAMEN AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,True,True,1234,12,25.0,31.0,04B,1163355.0,1890208.0,2026,2026-06-29T15:42:22.000,41.85436955,-87.675903919,"{'latitude': '41.85436955', 'longitude': '-87.675903919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315029,14237628,JK303908,2026-06-21T22:00:00.000,031XX W ROOSEVELT RD,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,STREET,False,False,1022,10,24.0,29.0,03,1155802.0,1894546.0,2026,2026-06-29T15:42:22.000,41.866428839,-87.703509785,"{'latitude': '41.866428839', 'longitude': '-87.703509785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315030,14237853,JK304279,2026-06-21T22:00:00.000,106XX S SANGAMON ST,0810,THEFT,OVER $500,RESIDENCE,False,False,2232,22,21.0,73.0,06,1171870.0,1834297.0,2026,2026-06-29T15:42:22.000,41.70076008,-87.646290106,"{'latitude': '41.70076008', 'longitude': '-87.646290106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1315031,14238429,JK305103,2026-06-21T22:00:00.000,029XX W FULTON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1222,12,27.0,27.0,07,1156768.0,1901866.0,2026,2026-06-29T15:42:22.000,41.886496145,-87.699765126,"{'latitude': '41.886496145', 'longitude': '-87.699765126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
